foundation_slug,program_slug,award_year,recipient_name,recipient_type,project_title,project_description,amount,currency,source_url,discipline,confidence,needs_review,review_reason,scan_metadata
karjalan-kulttuurirahasto,general,2024,Aitomäen nuorisoseura ry,organization,Tanssia juuriltamme,,2500,EUR,https://www.karjalankulttuurirahasto.fi/wp-content/uploads/2024/12/Myonnetyt-apurahat-2024.pdf#page=2,,0.95,False,,"{""source_quote"": ""| 2024130 | Aitomäen nuorisoseura ry | Tanssia juuriltamme | 2 500 € |"", ""extractor"": ""grantscrape/0.1"", ""foundation"": ""Karjalan Kulttuurirahasto"", ""recipient_raw"": ""Aitomäen nuorisoseura ry"", ""amount_raw"": ""2 500 €"", ""agent_confidence"": 0.95, ""rule_score"": 1.0, ""chunk_id"": ""001"", ""run_id"": ""karjalan-kulttuurirahasto""}"
karjalan-kulttuurirahasto,general,2024,"Apo-Syrjänen Susanna, Hietala Aki, Penttilä Saija",group,Lasten ja nuorten kansanmusiikkileiri ja nuottikirja,,1000,EUR,https://www.karjalankulttuurirahasto.fi/wp-content/uploads/2024/12/Myonnetyt-apurahat-2024.pdf#page=1,,0.85,False,,"{""source_quote"": ""| 2024063 | Apo-Syrjänen Susanna; Hietala Aki; Penttilä Saija | Lasten ja nuorten kansanmusiikkileiri ja nuottikirja | 1 000 € |"", ""extractor"": ""grantscrape/0.1"", ""foundation"": ""Karjalan Kulttuurirahasto"", ""recipient_raw"": ""Apo-Syrjänen Susanna; Hietala Aki; Penttilä Saija"", ""amount_raw"": ""1 000 €"", ""agent_confidence"": 0.85, ""rule_score"": 1.0, ""notes"": ""The ';' in the Hakija cell marks line breaks between three named recipients, joined with commas per convention"", ""chunk_id"": ""000"", ""run_id"": ""karjalan-kulttuurirahasto""}"
karjalan-kulttuurirahasto,general,2024,Asemäentien nuorisoseura ry,organization,Siruna kiertue,,4000,EUR,https://www.karjalankulttuurirahasto.fi/wp-content/uploads/2024/12/Myonnetyt-apurahat-2024.pdf#page=2,,0.95,False,,"{""source_quote"": ""| 2024097 | Asemäentien nuorisoseura ry | Siruna kiertue | 4 000 € |"", ""extractor"": ""grantscrape/0.1"", ""foundation"": ""Karjalan Kulttuurirahasto"", ""recipient_raw"": ""Asemäentien nuorisoseura ry"", ""amount_raw"": ""4 000 €"", ""agent_confidence"": 0.95, ""rule_score"": 1.0, ""chunk_id"": ""001"", ""run_id"": ""karjalan-kulttuurirahasto""}"
karjalan-kulttuurirahasto,general,2024,Etelä-Karjalan Estradi ry,organization,Taidekoulu Estradin 20-vuotisjuhlaviikko,,6000,EUR,https://www.karjalankulttuurirahasto.fi/wp-content/uploads/2024/12/Myonnetyt-apurahat-2024.pdf#page=3,,0.95,False,,"{""source_quote"": ""| 2024136 | Etelä-Karjalan Estradi ry | Taidekoulu Estradin 20-vuotisjuhlaviikko | 6 000 € |"", ""extractor"": ""grantscrape/0.1"", ""foundation"": ""Karjalan Kulttuurirahasto"", ""recipient_raw"": ""Etelä-Karjalan Estradi ry"", ""amount_raw"": ""6 000 €"", ""agent_confidence"": 0.95, ""rule_score"": 1.0, ""chunk_id"": ""002"", ""run_id"": ""karjalan-kulttuurirahasto""}"
karjalan-kulttuurirahasto,general,2024,Etelä-Karjalan klassinen kuoro ry.,organization,Yhteistyökonsertti Rakuunasoittokunnan kanssa: Mozart Requiem,,3000,EUR,https://www.karjalankulttuurirahasto.fi/wp-content/uploads/2024/12/Myonnetyt-apurahat-2024.pdf#page=1,,0.9,False,,"{""source_quote"": ""| 2024045 | Etelä-Karjalan klassinen kuoro ry. | Yhteistyökonsertti Rakuunasoittokunnan kanssa: Mozart Requiem | 3 000 € |"", ""extractor"": ""grantscrape/0.1"", ""foundation"": ""Karjalan Kulttuurirahasto"", ""recipient_raw"": ""Etelä-Karjalan klassinen kuoro ry."", ""amount_raw"": ""3 000 €"", ""agent_confidence"": 0.9, ""rule_score"": 1.0, ""chunk_id"": ""000"", ""run_id"": ""karjalan-kulttuurirahasto""}"
karjalan-kulttuurirahasto,general,2024,Hauhia Kantri ry,organization,Suomen Paras Kantribiisi 2025 -kilpailu,,1500,EUR,https://www.karjalankulttuurirahasto.fi/wp-content/uploads/2024/12/Myonnetyt-apurahat-2024.pdf#page=2,,0.95,False,,"{""source_quote"": ""| 2024127 | Hauhia Kantri ry | Suomen Paras Kantribiisi 2025 -kilpailu | 1 500 € |"", ""extractor"": ""grantscrape/0.1"", ""foundation"": ""Karjalan Kulttuurirahasto"", ""recipient_raw"": ""Hauhia Kantri ry"", ""amount_raw"": ""1 500 €"", ""agent_confidence"": 0.95, ""rule_score"": 1.0, ""chunk_id"": ""001"", ""run_id"": ""karjalan-kulttuurirahasto""}"
karjalan-kulttuurirahasto,general,2024,"Hirvonen Pirjo, Marttila Katri, Laakso Sari, Roiha Leena, Leppänen Jari",group,Vaskela voimavarana vastakin!,,1550,EUR,https://www.karjalankulttuurirahasto.fi/wp-content/uploads/2024/12/Myonnetyt-apurahat-2024.pdf#page=3,,0.85,False,,"{""source_quote"": ""| 2024134 | Hirvonen Pirjo; Marttila Katri; Laakso Sari; Roiha Leena; Leppänen Jari | Vaskela voimavarana vastakin! | 1 550 € |"", ""extractor"": ""grantscrape/0.1"", ""foundation"": ""Karjalan Kulttuurirahasto"", ""recipient_raw"": ""Hirvonen Pirjo; Marttila Katri; Laakso Sari; Roiha Leena; Leppänen Jari"", ""amount_raw"": ""1 550 €"", ""agent_confidence"": 0.85, ""rule_score"": 1.0, ""notes"": ""Converted the semicolon-separated names (line breaks in the PDF) into comma-separated form per group-recipient convention."", ""chunk_id"": ""002"", ""run_id"": ""karjalan-kulttuurirahasto""}"
karjalan-kulttuurirahasto,general,2024,Huttunen Anu,individual,"Ellen Favorin, Etelä-Karjalan varhainen valokuvaaja",,5000,EUR,https://www.karjalankulttuurirahasto.fi/wp-content/uploads/2024/12/Myonnetyt-apurahat-2024.pdf#page=1,,0.9,False,,"{""source_quote"": ""| 2024021 | Huttunen Anu | Ellen Favorin, Etelä-Karjalan varhainen valokuvaaja | 5 000 € |"", ""extractor"": ""grantscrape/0.1"", ""foundation"": ""Karjalan Kulttuurirahasto"", ""recipient_raw"": ""Huttunen Anu"", ""amount_raw"": ""5 000 €"", ""agent_confidence"": 0.9, ""rule_score"": 1.0, ""chunk_id"": ""000"", ""run_id"": ""karjalan-kulttuurirahasto""}"
karjalan-kulttuurirahasto,general,2024,Hyppy ry,organization,Hyppy! 2025,,5000,EUR,https://www.karjalankulttuurirahasto.fi/wp-content/uploads/2024/12/Myonnetyt-apurahat-2024.pdf#page=3,,0.95,False,,"{""source_quote"": ""| 2024145 | Hyppy ry | Hyppy! 2025 | 5 000 € |"", ""extractor"": ""grantscrape/0.1"", ""foundation"": ""Karjalan Kulttuurirahasto"", ""recipient_raw"": ""Hyppy ry"", ""amount_raw"": ""5 000 €"", ""agent_confidence"": 0.95, ""rule_score"": 1.0, ""chunk_id"": ""002"", ""run_id"": ""karjalan-kulttuurirahasto""}"
karjalan-kulttuurirahasto,general,2024,Hänninen Mikko,individual,Haittaeläimestä suojelluksi lajiksi - Saimaannorppapolitiikka 1934-1955,,14000,EUR,https://www.karjalankulttuurirahasto.fi/wp-content/uploads/2024/12/Myonnetyt-apurahat-2024.pdf#page=1,,0.9,False,,"{""source_quote"": ""| 2024010 | Hänninen Mikko | Haittaeläimestä suojelluksi lajiksi - Saimaannorppapolitiikka 1934-1955 | 14 000 € |"", ""extractor"": ""grantscrape/0.1"", ""foundation"": ""Karjalan Kulttuurirahasto"", ""recipient_raw"": ""Hänninen Mikko"", ""amount_raw"": ""14 000 €"", ""agent_confidence"": 0.9, ""rule_score"": 1.0, ""chunk_id"": ""000"", ""run_id"": ""karjalan-kulttuurirahasto""}"
